d: 55 h:	0.0	[[9, 8, 7, 6, 5, 4, 3, 2, 1, 0], [], [], [], [], [], [], [], [], []]
d: 54 h:	0.0	[[9, 8, 7, 6, 5, 4, 3, 2, 1], [0], [], [], [], [], [], [], [], []]
d: 53 h:	0.0	[[9, 8, 7, 6, 5, 4, 3, 2], [0, 1], [], [], [], [], [], [], [], []]
d: 52 h:	0.0	[[9, 8, 7, 6, 5, 4, 3], [0, 1, 2], [], [], [], [], [], [], [], []]
d: 51 h:	0.0	[[9, 8, 7, 6, 5, 4], [0, 1, 2, 3], [], [], [], [], [], [], [], []]
d: 50 h:	0.0	[[9, 8, 7, 6, 5], [0, 1, 2, 3, 4], [], [], [], [], [], [], [], []]
d: 49 h:	2.0	[[9, 8, 7, 6], [0, 1, 2, 3, 4], [5], [], [], [], [], [], [], []]
d: 48 h:	2.4	[[9, 8, 7, 6, 4], [0, 1, 2, 3], [5], [], [], [], [], [], [], []]
d: 47 h:	1.0	[[9, 8, 7, 6, 4, 5], [0, 1, 2, 3], [], [], [], [], [], [], [], []]
d: 46 h:	1.42857142857	[[9, 8, 7, 6, 4, 5, 3], [0, 1, 2], [], [], [], [], [], [], [], []]
d: 45 h:	3.42857142857	[[9, 8, 7, 6, 4, 5, 3], [0, 1], [], [2], [], [], [], [], [], []]
d: 44 h:	3.5	[[9, 8, 7, 6, 4, 5], [0, 1], [], [2, 3], [], [], [], [], [], []]
d: 43 h:	3.56666666667	[[9, 8, 7, 6, 4], [0, 1, 5], [], [2, 3], [], [], [], [], [], []]
d: 42 h:	3.15	[[9, 8, 7, 6, 4], [0, 1, 5, 3], [], [2], [], [], [], [], [], []]
d: 41 h:	2.8	[[9, 8, 7, 6], [0, 1, 5, 3, 4], [], [2], [], [], [], [], [], []]
d: 40 h:	1.2	[[9, 8, 7, 6, 2], [0, 1, 5, 3, 4], [], [], [], [], [], [], [], []]
d: 39 h:	1.41666666667	[[9, 8, 7, 6, 2, 4], [0, 1, 5, 3], [], [], [], [], [], [], [], []]
d: 38 h:	3.33333333333	[[9, 8, 7, 6, 2, 4], [0, 1, 5], [], [3], [], [], [], [], [], []]
d: 37 h:	3.14285714286	[[9, 8, 7, 6, 2, 4, 5], [0, 1], [], [3], [], [], [], [], [], []]
d: 38 h:	1.75	[[9, 8, 7, 6, 2, 4, 5, 3], [0, 1], [], [], [], [], [], [], [], []]
d: 37 h:	2.22222222222	[[9, 8, 7, 6, 2, 4, 5, 3, 1], [0], [], [], [], [], [], [], [], []]
d: 36 h:	2.22222222222	[[9, 8, 7, 6, 2, 4, 5, 3, 1], [], [0], [], [], [], [], [], [], []]
d: 35 h:	1.75	[[9, 8, 7, 6, 2, 4, 5, 3], [], [0, 1], [], [], [], [], [], [], []]
d: 34 h:	3.14285714286	[[9, 8, 7, 6, 2, 4, 5], [], [0, 1], [3], [], [], [], [], [], []]
d: 33 h:	3.16666666667	[[9, 8, 7, 6, 2, 4], [], [0, 1], [3, 5], [], [], [], [], [], []]
d: 32 h:	3.4	[[9, 8, 7, 6, 2], [], [0, 1], [3, 5, 4], [], [], [], [], [], []]
d: 31 h:	3.0	[[9, 8, 7, 6], [], [0, 1, 2], [3, 5, 4], [], [], [], [], [], []]
d: 30 h:	2.9	[[9, 8, 7, 6, 4], [], [0, 1, 2], [3, 5], [], [], [], [], [], []]
d: 29 h:	2.9	[[9, 8, 7, 6, 4], [], [0, 1, 2, 5], [3], [], [], [], [], [], []]
d: 28 h:	2.6	[[9, 8, 7, 6], [], [0, 1, 2, 5, 4], [3], [], [], [], [], [], []]
d: 27 h:	1.0	[[9, 8, 7, 6], [], [0, 1, 2, 5, 4, 3], [], [], [], [], [], [], []]
d: 26 h:	3.0	[[9, 8, 7], [], [0, 1, 2, 5, 4, 3], [6], [], [], [], [], [], []]
d: 25 h:	3.1	[[9, 8, 7], [], [0, 1, 2, 5, 4], [6, 3], [], [], [], [], [], []]
d: 24 h:	3.5	[[9, 8, 7], [], [0, 1, 2, 5], [6, 3, 4], [], [], [], [], [], []]
d: 23 h:	3.5	[[9, 8, 7, 5], [], [0, 1, 2], [6, 3, 4], [], [], [], [], [], []]
d: 22 h:	4.2	[[9, 8, 7, 5, 2], [], [0, 1], [6, 3, 4], [], [], [], [], [], []]
d: 21 h:	4.7	[[9, 8, 7, 5, 2], [], [0], [6, 3, 4, 1], [], [], [], [], [], []]
d: 20 h:	4.5	[[9, 8, 7, 5], [], [0], [6, 3, 4, 1, 2], [], [], [], [], [], []]
d: 19 h:	4.16666666667	[[9, 8, 7], [], [0], [6, 3, 4, 1, 2, 5], [], [], [], [], [], []]
d: 18 h:	5.16666666667	[[9, 8], [], [0, 7], [6, 3, 4, 1, 2, 5], [], [], [], [], [], []]
d: 17 h:	5.66666666667	[[9, 8], [], [0, 7, 5], [6, 3, 4, 1, 2], [], [], [], [], [], []]
d: 16 h:	5.75	[[9, 8], [], [0, 7, 5, 2], [6, 3, 4, 1], [], [], [], [], [], []]
d: 15 h:	5.8	[[9, 8], [], [0, 7, 5, 2, 1], [6, 3, 4], [], [], [], [], [], []]
d: 14 h:	6.33333333333	[[9], [], [0, 7, 5, 2, 1, 8], [6, 3, 4], [], [], [], [], [], []]
d: 13 h:	6.35714285714	[[9], [], [0, 7, 5, 2, 1, 8, 4], [6, 3], [], [], [], [], [], []]
d: 12 h:	6.875	[[], [], [0, 7, 5, 2, 1, 8, 4, 9], [6, 3], [], [], [], [], [], []]
d: 11 h:	6.88888888889	[[], [], [0, 7, 5, 2, 1, 8, 4, 9, 3], [6], [], [], [], [], [], []]
d: 10 h:	6.88888888889	[[6], [], [0, 7, 5, 2, 1, 8, 4, 9, 3], [], [], [], [], [], [], []]
d: 9 h:	7.375	[[6, 3], [], [0, 7, 5, 2, 1, 8, 4, 9], [], [], [], [], [], [], []]
d: 8 h:	7.85714285714	[[6, 3, 9], [], [0, 7, 5, 2, 1, 8, 4], [], [], [], [], [], [], []]
d: 7 h:	8.33333333333	[[6, 3, 9, 4], [], [0, 7, 5, 2, 1, 8], [], [], [], [], [], [], []]
d: 6 h:	8.8	[[6, 3, 9, 4, 8], [], [0, 7, 5, 2, 1], [], [], [], [], [], [], []]
d: 5 h:	9.25	[[6, 3, 9, 4, 8, 1], [], [0, 7, 5, 2], [], [], [], [], [], [], []]
d: 4 h:	9.66666666667	[[6, 3, 9, 4, 8, 1, 2], [], [0, 7, 5], [], [], [], [], [], [], []]
d: 3 h:	10.0	[[6, 3, 9, 4, 8, 1, 2, 5], [], [0, 7], [], [], [], [], [], [], []]
d: 2 h:	11.0	[[6, 3, 9, 4, 8, 1, 2, 5], [7], [0], [], [], [], [], [], [], []]
d: 1 h:	12.0	[[6, 3, 9, 4, 8, 1, 2, 5, 0], [7], [], [], [], [], [], [], [], []]
d: 0 h:	11.0	[[6, 3, 9, 4, 8, 1, 2, 5, 0, 7], [], [], [], [], [], [], [], [], []]
